Layer,Layer hyperparameter,Initial value
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,256
,kernel_size,"(3, 3)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,1024
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,256
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,256
,kernel_size,"(3, 3)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,1024
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,256
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,256
,kernel_size,"(3, 3)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,1024
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,256
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,256
,kernel_size,"(3, 3)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,1024
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,256
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,256
,kernel_size,"(3, 3)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,1024
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,512
,kernel_size,"(1, 1)"
,strides,"(2, 2)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,512
,kernel_size,"(3, 3)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,2048
,kernel_size,"(1, 1)"
,strides,"(2, 2)"
,dilation_rate,"(1, 1)"
,groups,1
Conv2D,filters,2048
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,512
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,512
,kernel_size,"(3, 3)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,2048
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,512
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,512
,kernel_size,"(3, 3)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Conv2D,filters,2048
,kernel_size,"(1, 1)"
,strides,"(1, 1)"
,dilation_rate,"(1, 1)"
,groups,1
BatchNormalization,momentum,0.99
,epsilon,1.001e-05
Dense,units,1000
